324,65600,0,67174400,1.811170
564,65600,0,67174400,1.646988
1044,65600,0,67174400,1.054862
2004,65600,0,67174400,1.012007
3924,65600,0,67174400,0.894896
7764,65600,0,67174400,0.862371
15444,65600,0,67174400,0.867871
30804,65600,0,67174400,0.866398
28692,98432,0,67174400,0.855493
16388,172176,0,67174400,0.748708
532,98432,0,67174400,1.902728
900,98432,0,67174400,2.162816
1636,98432,0,67174400,1.100462
3108,98432,0,67174400,1.055687
6052,98432,0,67174400,0.917607
11940,98432,0,67174400,0.878135
23716,98432,0,67174400,0.871463
22564,123136,0,67174400,0.872932
8196,184608,0,67174400,0.865805
16388,172192,98432,67174400,0.747010
948,164096,0,67174400,3.320979
1572,164096,0,67174400,3.295074
2820,164096,0,67174400,1.299652
5316,164096,0,67174400,1.030836
10308,164096,0,67174400,0.908435
20292,164096,0,67174400,0.880870
19524,184832,0,67174400,0.877415
4100,240192,0,67174400,0.872811
8196,151872,164096,67174400,0.865979
16388,139328,328192,67174400,0.728330
1780,0,295424,67174400,4.063400
2916,0,295424,67174400,3.960605
5188,0,295424,67174400,1.309985
9732,0,295424,67174400,1.035193
18820,0,295424,67174400,0.910748
18052,18944,295424,67174400,0.883149
2052,71296,295424,67174400,0.877151
4100,141952,295424,67174400,0.873518
8196,135296,443392,67174400,0.872033
16388,0,861312,67174400,0.753560
3444,0,558080,67174400,5.312564
5604,0,558080,67174400,5.360038
9924,0,558080,67174400,1.316253
18564,0,558080,67174400,1.036267
17412,18432,558080,67174400,0.916907
1028,69376,558080,67174400,0.883326
2052,137472,558080,67174400,0.878887
4100,133376,698368,67174400,0.877278
8196,0,1104128,67174400,0.871837
16388,0,1648896,67174400,0.752489
6772,0,1083392,67174400,6.158741
10980,0,1083392,67174400,5.820182
19396,0,1083392,67174400,1.319833
17284,18944,1083392,67174400,1.042620
516,69376,1083392,67174400,0.914775
1028,136192,1083392,67174400,0.885934
2052,132608,1220608,67174400,0.879637
4100,0,1620480,67174400,0.877617
8196,0,2155008,67174400,0.874614
16388,0,3224064,67174400,0.740102
13428,0,2134016,67174400,7.019070
21732,0,2134016,67174400,6.065899
17604,20736,2134016,67174400,1.321249
260,71296,2134016,67174400,1.038755
516,137472,2134016,67174400,0.913816
1028,132608,2271232,67174400,0.884505
2052,0,2668544,67174400,0.880085
4100,0,3197952,67174400,0.878333
8196,0,4256768,67174400,0.876046
16388,0,6374400,67174400,0.684511
