L1_WSS,L2_WSS,L3_WSS,MEM_WSS,GFLOPS,PROXY_ACCESS_TIME,GFLOPS_RANKING,PROXY_ACCESS_RANKING
4100.0, 84544.0, 197120.0, 67239936.0, 0.883476, 5661181840.0, 901.0, 63.0, 
2052.0, 71296.0, 295424.0, 67174400.0, 0.877151, 5661381392.0, 925.0, 64.0, 
708.0, 164096.0, 0.0, 67371008.0, 2.397744, 5661464848.0, 280.0, 65.0, 
1140.0, 164096.0, 0.0, 67371008.0, 1.879334, 5661466576.0, 297.0, 66.0, 
2004.0, 164096.0, 0.0, 67371008.0, 3.781429, 5661470032.0, 260.0, 67.0, 
3732.0, 164096.0, 0.0, 67371008.0, 3.04643, 5661476944.0, 275.0, 68.0, 
7188.0, 164096.0, 0.0, 67371008.0, 1.674696, 5661490768.0, 358.0, 69.0, 
14100.0, 164096.0, 0.0, 67371008.0, 1.120781, 5661518416.0, 503.0, 70.0, 
27924.0, 164096.0, 0.0, 67371008.0, 1.12069, 5661573712.0, 504.0, 71.0, 
1108.0, 197120.0, 0.0, 67371008.0, 5.104694, 5661928784.0, 249.0, 72.0, 
1668.0, 197120.0, 0.0, 67371008.0, 2.250728, 5661931024.0, 283.0, 73.0, 
2788.0, 197120.0, 0.0, 67371008.0, 1.173751, 5661935504.0, 407.0, 74.0, 
5028.0, 197120.0, 0.0, 67371008.0, 1.070429, 5661944464.0, 543.0, 75.0, 
9508.0, 197120.0, 0.0, 67371008.0, 0.9431709999999999, 5661962384.0, 627.0, 76.0, 
18468.0, 197120.0, 0.0, 67371008.0, 0.8997639999999999, 5661998224.0, 795.0, 77.0, 
14356.0, 205312.0, 0.0, 67371008.0, 1.126458, 5662096464.0, 497.0, 78.0, 
11300.0, 222208.0, 0.0, 67371008.0, 0.8948209999999999, 5662320784.0, 845.0, 79.0, 
8196.0, 168512.0, 197120.0, 67239936.0, 0.884599, 5662373776.0, 894.0, 80.0, 
4100.0, 141952.0, 295424.0, 67174400.0, 0.873518, 5662378768.0, 933.0, 81.0, 
22564.0, 246784.0, 0.0, 67371008.0, 0.893706, 5662709904.0, 850.0, 82.0, 
28692.0, 246272.0, 0.0, 67371008.0, 0.885074, 5662727248.0, 889.0, 83.0, 
16388.0, 139328.0, 328192.0, 67174400.0, 0.72833, 5664357264.0, 992.0, 84.0, 
2356.0, 0.0, 328704.0, 67239936.0, 10.525532, 5667886288.0, 95.0, 85.0, 
3556.0, 0.0, 328704.0, 67239936.0, 6.086198, 5667891088.0, 210.0, 86.0, 
5956.0, 0.0, 328704.0, 67239936.0, 1.3191030000000001, 5667900688.0, 381.0, 87.0, 
10756.0, 0.0, 328704.0, 67239936.0, 1.008699, 5667919888.0, 602.0, 88.0, 
20356.0, 0.0, 328704.0, 67239936.0, 0.913005, 5667958288.0, 660.0, 89.0, 
18052.0, 21504.0, 328704.0, 67239936.0, 0.886391, 5668250128.0, 876.0, 90.0, 
2052.0, 75904.0, 328704.0, 67239936.0, 0.885179, 5668947728.0, 888.0, 91.0, 
4100.0, 150656.0, 328704.0, 67239936.0, 0.88635, 5670002448.0, 877.0, 92.0, 
8196.0, 135296.0, 443392.0, 67174400.0, 0.872033, 5671180048.0, 938.0, 93.0, 
16388.0, 205072.0, 164096.0, 67371008.0, 1.032586, 5671946992.0, 580.0, 94.0, 
8196.0, 135712.0, 197120.0, 67371008.0, 0.8867659999999999, 5672924624.0, 874.0, 95.0, 
16388.0, 139328.0, 394240.0, 67239936.0, 0.779143, 5673825168.0, 970.0, 96.0, 
1908.0, 0.0, 263168.0, 67371008.0, 9.316525, 5674962384.0, 100.0, 97.0, 
2724.0, 0.0, 263168.0, 67371008.0, 5.644815, 5674965648.0, 238.0, 98.0, 
4356.0, 0.0, 263168.0, 67371008.0, 11.993943, 5674972176.0, 81.0, 99.0, 
7620.0, 0.0, 263168.0, 67371008.0, 10.868871, 5674985232.0, 91.0, 100.0, 
14148.0, 0.0, 263168.0, 67371008.0, 1.691026, 5675011344.0, 349.0, 101.0, 
27204.0, 0.0, 263168.0, 67371008.0, 1.134183, 5675063568.0, 487.0, 102.0, 
19524.0, 33792.0, 263168.0, 67371008.0, 0.899272, 5675505936.0, 805.0, 103.0, 
3444.0, 0.0, 558080.0, 67174400.0, 5.312564, 5676148176.0, 244.0, 104.0, 
5604.0, 0.0, 558080.0, 67174400.0, 5.360037999999999, 5676156816.0, 242.0, 105.0, 
9924.0, 0.0, 558080.0, 67174400.0, 1.3162530000000001, 5676174096.0, 382.0, 106.0, 
18564.0, 0.0, 558080.0, 67174400.0, 1.036267, 5676208656.0, 576.0, 107.0, 
4100.0, 101440.0, 263168.0, 67371008.0, 0.8941370000000001, 5676391312.0, 847.0, 108.0, 
17412.0, 18432.0, 558080.0, 67174400.0, 0.9169069999999999, 5676462096.0, 642.0, 109.0, 
1028.0, 69376.0, 558080.0, 67174400.0, 0.8833260000000001, 5677109776.0, 902.0, 110.0, 
8196.0, 201792.0, 263168.0, 67371008.0, 1.13526, 5677812624.0, 484.0, 111.0, 
2052.0, 137472.0, 558080.0, 67174400.0, 0.8788870000000001, 5678067216.0, 914.0, 112.0, 
8196.0, 135296.0, 493568.0, 67239936.0, 0.885977, 5679695632.0, 879.0, 113.0, 
3508.0, 0.0, 395264.0, 67371008.0, 14.837617000000002, 5682894544.0, 37.0, 114.0, 
4836.0, 0.0, 395264.0, 67371008.0, 6.468241, 5682899856.0, 183.0, 115.0, 
7492.0, 0.0, 395264.0, 67371008.0, 16.574806, 5682910480.0, 25.0, 116.0, 
12804.0, 0.0, 395264.0, 67371008.0, 6.947495, 5682931728.0, 169.0, 117.0, 
23428.0, 0.0, 395264.0, 67371008.0, 1.6997630000000001, 5682974224.0, 346.0, 118.0, 
18052.0, 26624.0, 395264.0, 67371008.0, 1.134897, 5683325456.0, 486.0, 119.0, 
4532.0, 0.0, 591872.0, 67239936.0, 11.349354, 5683685072.0, 87.0, 120.0, 
6756.0, 0.0, 591872.0, 67239936.0, 5.789376, 5683693968.0, 229.0, 121.0, 
11204.0, 0.0, 591872.0, 67239936.0, 1.321399, 5683711760.0, 378.0, 122.0, 
20100.0, 0.0, 591872.0, 67239936.0, 1.0166309999999998, 5683747344.0, 596.0, 123.0, 
16388.0, 73760.0, 394240.0, 67371008.0, 0.807126, 5683917264.0, 954.0, 124.0, 
17412.0, 20480.0, 591872.0, 67239936.0, 0.9166059999999999, 5684023312.0, 644.0, 125.0, 
2052.0, 85120.0, 395264.0, 67371008.0, 0.8985120000000001, 5684080400.0, 810.0, 126.0, 
1028.0, 72448.0, 591872.0, 67239936.0, 0.8854639999999999, 5684685328.0, 884.0, 127.0, 
4100.0, 168064.0, 395264.0, 67371008.0, 0.893854, 5685249808.0, 848.0, 128.0, 
2052.0, 142592.0, 591872.0, 67239936.0, 0.885703, 5685671440.0, 883.0, 129.0, 
4100.0, 133376.0, 698368.0, 67174400.0, 0.8772780000000001, 5686435344.0, 924.0, 130.0, 
16388.0, 139328.0, 526336.0, 67371008.0, 1.056359, 5692760976.0, 554.0, 131.0, 
16388.0, 0.0, 861312.0, 67174400.0, 0.75356, 5694393872.0, 984.0, 132.0, 
4100.0, 133376.0, 741376.0, 67239936.0, 0.886942, 5694520848.0, 872.0, 133.0, 
8196.0, 135296.0, 593920.0, 67371008.0, 1.136417, 5696726800.0, 481.0, 134.0, 
6708.0, 0.0, 659456.0, 67371008.0, 19.653988000000002, 5698758864.0, 2.0, 135.0, 
9060.0, 0.0, 659456.0, 67371008.0, 5.905988, 5698768272.0, 224.0, 136.0, 
13764.0, 0.0, 659456.0, 67371008.0, 11.676889, 5698787088.0, 84.0, 137.0, 
23172.0, 0.0, 659456.0, 67371008.0, 7.624406, 5698824720.0, 146.0, 138.0, 
1220.0, 0.0, 295424.0, 67633152.0, 2.384798, 5698915088.0, 281.0, 139.0, 
1908.0, 0.0, 295424.0, 67633152.0, 1.862742, 5698917840.0, 300.0, 140.0, 
3284.0, 0.0, 295424.0, 67633152.0, 3.632274, 5698923344.0, 261.0, 141.0, 
6036.0, 0.0, 295424.0, 67633152.0, 3.135195, 5698934352.0, 269.0, 142.0, 
11540.0, 0.0, 295424.0, 67633152.0, 1.672638, 5698956368.0, 359.0, 143.0, 
22548.0, 0.0, 295424.0, 67633152.0, 1.1197110000000001, 5699000400.0, 505.0, 144.0, 
17412.0, 24576.0, 659456.0, 67371008.0, 1.707108, 5699145744.0, 342.0, 145.0, 
7188.0, 37376.0, 295424.0, 67633152.0, 1.117233, 5699462224.0, 512.0, 146.0, 
1028.0, 78592.0, 659456.0, 67371008.0, 1.139364, 5699836432.0, 475.0, 147.0, 
14356.0, 74240.0, 295424.0, 67633152.0, 1.122941, 5700006992.0, 500.0, 148.0, 
2052.0, 152832.0, 659456.0, 67371008.0, 0.901675, 5700879888.0, 769.0, 149.0, 
1876.0, 0.0, 328704.0, 67633152.0, 5.037737, 5700914512.0, 251.0, 150.0, 
2692.0, 0.0, 328704.0, 67633152.0, 2.244838, 5700917776.0, 284.0, 151.0, 
4324.0, 0.0, 328704.0, 67633152.0, 1.1786020000000001, 5700924304.0, 405.0, 152.0, 
7588.0, 0.0, 328704.0, 67633152.0, 1.075883, 5700937360.0, 536.0, 153.0, 
14116.0, 0.0, 328704.0, 67633152.0, 0.9508620000000001, 5700963472.0, 625.0, 154.0, 
27172.0, 0.0, 328704.0, 67633152.0, 0.9047, 5701015696.0, 712.0, 155.0, 
28692.0, 147968.0, 295424.0, 67633152.0, 0.888706, 5701096528.0, 864.0, 156.0, 
11300.0, 41984.0, 328704.0, 67633152.0, 0.8955280000000001, 5701539984.0, 837.0, 157.0, 
22564.0, 82944.0, 328704.0, 67633152.0, 0.893748, 5702158480.0, 849.0, 158.0, 
8196.0, 201760.0, 328704.0, 67633152.0, 0.889718, 5703764432.0, 861.0, 159.0, 
16388.0, 0.0, 927872.0, 67239936.0, 0.778675, 5703892496.0, 971.0, 160.0, 
3188.0, 0.0, 395264.0, 67633152.0, 11.289785, 5704913360.0, 88.0, 161.0, 
4260.0, 0.0, 395264.0, 67633152.0, 5.727293, 5704917648.0, 231.0, 162.0, 
6404.0, 0.0, 395264.0, 67633152.0, 15.229167000000002, 5704926224.0, 35.0, 163.0, 
10692.0, 0.0, 395264.0, 67633152.0, 14.785503, 5704943376.0, 38.0, 164.0, 
19268.0, 0.0, 395264.0, 67633152.0, 1.7025569999999999, 5704977680.0, 345.0, 165.0, 
9796.0, 26624.0, 395264.0, 67633152.0, 1.133846, 5705312528.0, 489.0, 166.0, 
19524.0, 51200.0, 395264.0, 67633152.0, 0.9019790000000001, 5705695504.0, 764.0, 167.0, 
4100.0, 135232.0, 395264.0, 67633152.0, 0.895862, 5706810256.0, 832.0, 168.0, 
6772.0, 0.0, 1083392.0, 67174400.0, 6.158741, 5707680208.0, 201.0, 169.0, 
10980.0, 0.0, 1083392.0, 67174400.0, 5.820182, 5707697040.0, 226.0, 170.0, 
19396.0, 0.0, 1083392.0, 67174400.0, 1.319833, 5707730704.0, 380.0, 171.0, 
17284.0, 18944.0, 1083392.0, 67174400.0, 1.04262, 5707987472.0, 568.0, 172.0, 
516.0, 69376.0, 1083392.0, 67174400.0, 0.914775, 5708626448.0, 651.0, 173.0, 
8196.0, 0.0, 1104128.0, 67174400.0, 0.8718370000000001, 5708930064.0, 939.0, 174.0, 
1028.0, 136192.0, 1083392.0, 67174400.0, 0.885934, 5709563920.0, 880.0, 175.0, 
4100.0, 133376.0, 827392.0, 67371008.0, 0.895706, 5710691856.0, 833.0, 176.0, 
5812.0, 0.0, 528384.0, 67633152.0, 16.799442000000003, 5712911056.0, 23.0, 177.0, 
7396.0, 0.0, 528384.0, 67633152.0, 6.451973000000001, 5712917392.0, 185.0, 178.0, 
10564.0, 0.0, 528384.0, 67633152.0, 18.367926, 5712930064.0, 9.0, 179.0, 
16900.0, 0.0, 528384.0, 67633152.0, 6.982892, 5712955408.0, 167.0, 180.0, 
29572.0, 0.0, 528384.0, 67633152.0, 1.713057, 5713006096.0, 338.0, 181.0, 
18052.0, 36864.0, 528384.0, 67633152.0, 1.136108, 5713476112.0, 482.0, 182.0, 
2052.0, 103552.0, 528384.0, 67633152.0, 0.900877, 5714345744.0, 781.0, 183.0, 
8884.0, 0.0, 1118208.0, 67239936.0, 13.714305, 5715282640.0, 45.0, 184.0, 
13156.0, 0.0, 1118208.0, 67239936.0, 5.876154, 5715299728.0, 225.0, 185.0, 
21700.0, 0.0, 1118208.0, 67239936.0, 1.324537, 5715333904.0, 376.0, 186.0, 
17284.0, 21504.0, 1118208.0, 67239936.0, 1.020829, 5715617296.0, 591.0, 187.0, 
4100.0, 202880.0, 528384.0, 67633152.0, 0.8976770000000001, 5715744528.0, 819.0, 188.0, 
516.0, 72448.0, 1118208.0, 67239936.0, 0.9193389999999999, 5716263440.0, 634.0, 189.0, 
1028.0, 140288.0, 1118208.0, 67239936.0, 0.8859049999999999, 5717215248.0, 881.0, 190.0, 
16388.0, 40976.0, 590848.0, 67633152.0, 1.0358969999999998, 5717274864.0, 577.0, 191.0, 
8196.0, 0.0, 1155328.0, 67239936.0, 0.88871, 5717507088.0, 863.0, 192.0, 
2052.0, 132608.0, 1220608.0, 67174400.0, 0.8796370000000001, 5717750800.0, 911.0, 193.0, 
8196.0, 69696.0, 593920.0, 67633152.0, 1.1379, 5717828496.0, 478.0, 194.0, 
16388.0, 73760.0, 657408.0, 67633152.0, 0.753834, 5721727440.0, 983.0, 195.0, 
16388.0, 0.0, 1060992.0, 67371008.0, 1.056465, 5722889744.0, 553.0, 196.0, 
2052.0, 132608.0, 1261568.0, 67239936.0, 0.8880389999999999, 5725713424.0, 865.0, 197.0, 
11060.0, 0.0, 794624.0, 67633152.0, 16.075619, 5728906448.0, 32.0, 198.0, 
13668.0, 0.0, 794624.0, 67633152.0, 5.798425, 5728916880.0, 227.0, 199.0, 
18884.0, 0.0, 794624.0, 67633152.0, 12.010147, 5728937744.0, 80.0, 200.0, 
